EVENT_DESCRIPTION,Category,SubCategory,EventName,Area,SourceAgency,AssociatedOrg
"The following activity of Thuraya terminal was observed near India Border At 0546 hrs on Jun 30, a Thuraya terminal (16?56\'58""N, 72?49\'57""E) in Arabian Sea, about 49 Kms SW of Ratnagiri Bay",THREAT,Smuggling,SSSSSSSS,Jammu & Kashmir,CAW,ISIS
"Thuraya entity (IMEI No: not available) was found active at 20?31\'52""N, 68?54\'19""E about 150 Kms SW of Mangrol and 167.1 Kms SW of Verval, Gujrat on Jun 29, 2099 at 1843 hrs.",THREAT,Logistics / Adm / Fundings,DDDDDD,Jammu & Kashmir,CAW,JeM
"The following activity of Thuraya terminal was observed in India Border At 1443 hrs on Jun 29, a Thuraya terminal (20?31\'52""N, 68?54\'19""E) in Arabian Sea, about 158 Kms SW of Veraval, Gujarat. The terminal was in contact with a tele number (09195840000 -country not confirmed)",INTELLIGENCE,Smuggling,DDDDDD,ROI,CAW,ISIS
"The following activity of Thuraya terminal was observed in India Border Between 1702 & 1858 hrs on Jun 29, a Thuraya terminal (21?12\'10""N, 68?51\'11""E) in Arabian Sea, about 90 Kms SW of Proband Port, Gujrat. The terminal was in contact with a Slovenia tele number (+38641710000), a Greece tele number (+306937170000) and an Estonia tele number (+37281710000)",THREAT,Logistics / Adm / Fundings,SSSSSSSS,Jammu & Kashmir,CAW,ISIS
"The following activity of Thuraya terminal was observed in India Border . Between 1738 & 1829 hrs on Jun 29, a Thuraya terminal (21?12\'10""N, 68?51\'11""E) in Arabian Sea, about 90 Kms SW of Porband Port, Gujrat. The terminal was in contact with a Crotia tele number (+38552850000), a Greece tele number (+306937170000).",THREAT,Logistics / Adm / Fundings,SSSSSSSS,ROI,SATP,ISIS
"A series of inputs on 30 Jun 16 revealed that two  terrorists identified as terrorist Amir, r/o Gandi Bagh (MY 8094), Kakapura and an unidentified terrorist, probably r/o Pakistan were killed in an encounter with SF at Niu (MY 7895), Pulwama on Jun 30, 2099. Further, two terrorists including terrorist Salman had probably escaped from the encounter site",INTELLIGENCE,Smuggling,SSSSSSSS,ROI,CAW,JeM
"Communication between suspect Zayan (UID 11544) from Budgam (MT 648060/34?03'10''N, 74?44'40''E) and unidentified suspect on Jun 30, 2099 revealed that two HM terrorists were arrested by SF at Sopore (MT 3630) on Jun 30, 2099. Further, they were probably working with slain terrorist Adam Wani, who was killed on Jun 28, 2099.(Grading: C2)",THREAT,Logistics / Adm / Fundings,SSSSSSSS,Jammu & Kashmir,SATP,ISIS
"Communication between suspect Ishaaq (UID 11000) from Surigam (MT 250586/34?32\'54""N, 74?20\'49\'\'E) and suspect Zakariya on Jun 30, 2099 revealed that five suspects/terrorists were hiding in Peer Mohalla in Kunthpur (MT 2457) in Kupwara on Jun 30, 2099",THREAT,Logistics / Adm / Fundings,DDDDDD,ROI,SATP,JeM
"Communication between suspect Isan (UID 7121) from Tekipora (MT 3250/34?28\'00""N, 74?25\'30""E) and suspect Amir on Jun 30, 2099 revealed that 2 terrorists were present in the house of Aasif , s/o Mohd Sidiq Bhat in Doruswain (MT 3248), Lolab on Jun 29, 2099.\r\n(Grading: C2)",THREAT,Logistics / Adm / Fundings,SSSSSSSS,Jammu & Kashmir,CAW,JeM
"Communication between suspect Muhammad (UID 7121) from Tekipora (MT 3250/33?28\'08""N, 74?25\'30""E) and suspect Ishaaq on Jun 30, 2099 revealed that 4 to 5 suspects/terrorists were observed in the house of Adam .",THREAT,Logistics / Adm / Fundings,SSSSSSSS,Jammu & Kashmir,CAW,JeM
"Communication between suspect Adam(UID 7121) from Tekipora (MT 3250/34?27\'40""N, 74?25\'13""E) and suspect Amir from Srinagar(MT 7000) on Jun 30, 2099 revealed that a terrorist was observed moving towords the house of Viram, r/o Chhan Mohalla, Tekipora (MT 3250)Lolab on Jun 30, 2099. (Grading: C2)",INTELLIGENCE,Logistics / Adm / Fundings,SSSSSSSS,ROI,SATP,ISIS
"Thuraya entity (IMEI No: not available) was found active at 33?52\'02""N, 73?43\'35""E about 3.5 Kms West of pulwama Kot, POK and 36 Kms NW of KG, J&K on Jun 29, 2099 at 1805 hrs .",INTELLIGENCE,Smuggling,DDDDDD,Jammu & Kashmir,CAW,JeM
"An Amir s/o Gulam Md , r/o Nawaz Mohalla, PS Lalpura, Distt Kupwara provides shelter to a group of 4 terrorists who are recentaly active in Lalpura area.",THREAT,Smuggling,SSSSSSSS,Jammu & Kashmir,CAW,ISIS
"Two unknown terrorists Amir noticed roaming in Mugalpura, Dudhwan and Salkut , Distt Kuppamma from 2-3 days to facilitate infiltrated terrorists to further move towords South Kashmir by vehicle.",THREAT,Smuggling,SSSSSSSS,Jammu & Kashmir,SATP,ISIS
Reportedly a Local Terrorist  Aram malik son of Gh Mohammad Lone resident of Bhatkal along with two unidentified terrorists was observed in Sempora and Goripora.,INTELLIGENCE,Smuggling,DDDDDD,Jammu & Kashmir,CAW,ISIS
"Suspect Mohd UMTR SHQR (21 yrs) son of Wali Mohammad Sheikh resident of Brental, Pulwama (who went missing since May 18/19, 2099) has now returned back to his residence on Jun 28, 2099. (Grading: B2)",INTELLIGENCE,Logistics / Adm / Fundings,SSSSSSSS,ROI,CAW,ISIS
